last_season,current_club_id,country_of_citizenship,sub_position,foot,height_in_cm,agent_name,current_club_domestic_competition_id,highest_market_value_in_eur,valor_real,edad,contrato_restante,convocado,tempo_2018_titu,tempo_2019_titu,tempo_2020_titu,tempo_2021_titu,tempo_2022_titu,tempo_2023_titu,tempo_2024_titu,capitanias,temporada_2018_g,temporada_2019_g,temporada_2020_g,temporada_2021_g,temporada_2022_g,temporada_2023_g,temporada_2024_g,goles,asistencias,cambios,amarillas,club_id,stadium_seats,temporada_2018_a,temporada_2019_a,temporada_2020_a,temporada_2021_a,temporada_2022_a,temporada_2023_a,temporada_2024_a,jerarquia_rondas_CL,jerarquia_rondas_EL,jugador_ofensivo,efectividad
2019,2969,France,Central Midfield,right,168.0,,FR1,6500000.0,305319.82940327097,38.0,,63.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,2.0,2969,16098,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.07936507936507936
2022,1421,France,Goalkeeper,left,185.0,USM GROUP ,FR1,2800000.0,117252.65081958147,40.0,,111.0,21.0,29.0,26.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,2.0,1421,20519,,,,,,,,,,0,
2018,11,Czech Republic,Goalkeeper,left,196.0,,GB1,28500000.0,3104774.1304541514,35.0,,69.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,17.0,,,,,,,,,,,1.0,11,60704,,,,,,,,,,0,
2018,855,France,Central Midfield,right,175.0,,FR1,7000000.0,310477.41304541513,34.0,,54.0,27.0,7.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,11.0,1.0,855,18120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.05555555555555555
2018,416,Italy,Centre-Back,left,182.0,,IT1,8000000.0,620954.8260908303,36.0,,57.0,21.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,1.0,,416,28177,,,,,,,,,,0,
2018,1050,Italy,Centre-Back,right,183.0,TMP SOCCER srl ,ES1,11000000.0,248381.93043633213,36.0,,35.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,,1050,23500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.05714285714285714
2018,749,Italy,Central Midfield,right,178.0,,IT1,13000000.0,248381.93043633213,36.0,,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,749,19847,,,,,,,,,,0,
2018,862,Italy,Centre-Forward,right,175.0,Oscar Damiani,IT1,7000000.0,248381.93043633213,38.0,,53.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,,862,31045,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.09433962264150944
2018,12,Italy,Defensive Midfield,both,184.0,World Soccer Agency,IT1,38000000.0,1241909.6521816605,34.0,,49.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,,12,70634,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0,0.16326530612244897
2020,244,France,Goalkeeper,right,196.0,F12,FR1,5000000.0,300981.95802638726,37.0,,141.0,21.0,3.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,244,67394,,,,,,,,,,0,
